pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
text,รหัสวิชา,90,0.04918,,0.966667,0,36,0,3,732
text,ชื่อวิชา (ไทย) ⭐,90,0.204192,0.265659,0.766667,59,489,17,3,2767
text,ชื่อวิชา (อังกฤษ) ⭐,90,0.419331,0.432836,0.677778,0,1115,0,29,2659
text,หน่วยกิต,90,0.161252,,0.866667,0,134,0,3,831
text,ปี/ภาค,90,0.033333,,0.966667,0,9,0,3,270
text,หมวดวิชา,90,0.03958,,0.955556,4,39,6,3,1238
text,บังคับ/เลือก,90,0.034979,,0.966667,0,17,0,3,486
text,วิชาบังคับก่อน,87,0.088889,,0.942529,25,15,0,0,450
text,ปี/ภาคยืดหยุ่น,87,0.0,,1.0,0,0,0,0,484
