pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,57,0.940171,,0.035088,0,440,0,55,468
vlm,ชื่อวิชา (ไทย) ⭐,57,0.958887,0.96861,0.017544,0,1516,0,55,1581
vlm,ชื่อวิชา (อังกฤษ) ⭐,57,1.0,1.0,0.0,0,1699,0,57,1699
vlm,หน่วยกิต,57,0.962882,,0.035088,0,441,0,55,458
vlm,ปี/ภาค,57,0.964912,,0.035088,0,165,0,55,171
vlm,หมวดวิชา,57,1.0,,0.0,0,805,0,57,805
vlm,บังคับ/เลือก,57,1.0,,0.0,0,319,0,57,319
vlm,วิชาบังคับก่อน,2,0.0,,1.0,0,0,0,0,10
vlm,ปี/ภาคยืดหยุ่น,2,0.0,,1.0,0,0,0,0,0
